1622 4272
1145 596 41
1455 416 54
649 404 90
171 766 81
171 78 26
428 757 60
341 24 12
18 385 13
1332 1014 40
1387 1179 25
1536 489 12
130 384 38
1617 736 53
8 1448 62
767 1044 50
468 649 76
1485 321 16
455 533 80
813 707 75
1426 491 65
199 77 80
1560 175 44
545 395 47
663 644 37
434 535 69
818 883 23
923 1492 63
387 1207 69
1369 357 44
1071 369 91
785 396 67
522 724 93
1441 1201 91
289 1474 62
500 876 89
778 1555 43
1524 399 43
1073 1385 41
1615 528 50
1591 454 85
1518 166 65
231 1218 64
883 1447 58
1047 1265 27
443 1362 75
260 1133 42
763 1096 26
1061 896 91
696 529 79
1303 801 75
616 805 83
1372 229 15
84 327 32
406 1304 17
1087 1203 67
1496 920 94
1183 539 43
641 1270 51
1508 1341 19
1544 1187 82
886 970 35
1379 744 18
801 1278 58
433 1498 94
1327 862 34
992 1118 28
356 978 65
621 333 99
1023 200 56
395 1300 53
1222 1370 38
264 651 90
1547 846 73
589 1279 81
1010 1296 66
563 1052 44
58 1542 34
313 1371 73
1039 386 25
962 1321 56
1258 8 33
1173 342 93
88 452 100
879 202 60
44 1333 46
1290 1375 20
1526 492 80
798 899 20
1396 628 42
945 1233 29
510 350 53
1095 411 50
1408 1280 37
197 1260 77
1320 898 99
1087 1147 13
483 1436 61
1195 1609 63
399 1188 36
413 940 10
1372 1226 71
429 130 10
1044 668 97
381 898 60
586 871 49
1248 567 59
250 702 75
140 309 27
878 541 57
110 120 25
1597 1523 45
421 1587 32
786 944 99
248 808 24
1181 1060 83
881 813 52
289 1572 38
522 1286 92
23 1539 32
1373 1342 19
96 1108 63
1620 1292 24
1267 58 23
1253 1027 40
1145 1031 65
750 228 22
1213 914 71
1514 916 70
480 376 28
496 1471 61
1357 1558 24
1365 1110 12
823 232 77
55 564 79
374 333 48
142 1305 49
1546 1253 25
536 558 38
1073 1474 68
114 39 89
1607 267 63
33 1257 72
1352 1052 77
1128 1109 30
621 243 39
121 1555 64
1374 334 83
1146 1141 68
1583 305 92
489 760 18
1131 387 63
342 1034 56
1595 1493 36
993 489 53
806 1599 41
1130 825 49
441 263 95
620 425 74
1492 1587 51
967 369 93
250 1594 69
1542 1312 32
207 1430 23
29 541 95
374 1046 13
324 827 17
1605 253 38
923 953 34
1273 1387 58
1598 788 68
1353 968 28
239 1161 56
43 64 33
1437 685 84
383 281 94
1212 390 59
1108 125 62
429 1139 67
253 65 58
1151 1058 77
1260 565 95
335 1483 85
138 1367 59
867 175 63
905 744 94
285 818 67
1574 344 77
1090 79 46
858 1542 70
722 1289 22
318 217 12
764 246 29
316 1190 99
594 1271 26
660 458 15
425 205 82
1177 1519 48
618 807 43
1433 115 85
354 1294 53
604 628 20
916 1353 99
